 cafe , case 
Jefuitically,jesuitically
Jefuits,jesuits
Jofeph,Joseph
juftice,justice
juftly,justly
kindnefs,kindness
kindnefses,kindnesses
laft,last
laftly,lastly
Lifle,Lille
likewife,likewise
loffes,losses
lofs,loss
lofses,losses
loft,lost
Maaftricht,Maastricht
Maefeyck,maeseyck
Maeftricht,maastricht
maffacre,massacre
mafter,master
maftered,mastered
mafters,masters
Magiftra,Magistra
majefty,majesty
Marefschal,Marechal
marfh,marsh
marfhal,marshal
marfhall,marshall
marfhalls,marshalls
marfhals,marshals
marfhes,marshes
marfhy,marshy
Mariborough,marlborough
marihal,marshal
Marquefs,marquess
meafure,measure
meafures,measures
Meffieur,messieur
Meffieurs,messieurs
mifcarriage,miscarriage
mifchief,mischief
mifchiefs,mischiefs
miftrefs,mistress
miftrefses,mistresses
Mightineffes,mightinesses
mightinefs,mightiness
minifter,minister
minifters,ministers
modeft,modest
Mofelle,Moselle
moftly,mostly
Monfieur,Monsieur
morafs,morass
mufket,musket
myfelf,myself
Naffau,nassau
Nafsau,nassau
nearnefs,nearness
neceffaries,necessaries
neceffary,necessary
neceffities,necessities
neceffity,necessity
neverthelefs,nevertheless
noife,noise
notwithftanding,notwithstanding
obferve,observe
obferved,observed
obferves,observes
obferving,observing
obftinacy,obstinacy
obftinant,obstinant
occafion,occasion
occafioned,occasioned
occafions,occasions
offenfive,offensive
oppofe,oppose
oppofite,opposite
oppreffion,oppression
oppreffions,oppressions
otherwife,otherwise
paffage,passage
paffages,passages
paffes,passes
paffing,passing
Paffport,passport
pafport,passport
pafs,pass
paft,past
paliffad,palisad
pallifad,palisad
pedeftal,pedestal
pedeftals,pedestals
perfecute,persecute
perfecution,persecution
perfecutions,persecutions
perfecutor,persecutor
perfecutors,persecutors
perfifted,persisted
perfon,person
perfons,persons
perfpective,perspective
perfpicuity,perspicuity
perfuasion,persuasion
perufe,peruse
plainnefs,plainness
pleafure,pleasure
poffeffed,possessed
poffeffing,possessing
poffeffion,possession
poffeffions,possessions
poffefs,possess
poffefs'd,possess'd
poffefses,possesses
poffible,possible
poffibly,possibly
pofitive,positive
poft,post
pofted,posted
pofts,posts
politenefs,politiness
praife,praise
praifes,praises
prefage,presage
prefaged,presaged
prefages,presages
Prefbyterian,presbyterian
Prefbyterians,presbyterians
prefcribe,prescribe
prefcribed,prescribed
prefcribes,prescribes
prefcript,prescript
prefence,presence
prefent,present
prefented,presented
prefents,presents
prefervation,preservation
preferve,preserve
preferved,preserved
preferves,preserves
preferving,preserving
prefident,president
prefs,press
preft,pressed
prefume,presume
prefumes,presumes
prefuming,presuming
prefumptive,presumptive
prieft,priest
priefts,priests
prifoner,prisoner
Prifoners,prisoner
prifoners,prisoners
Princefs,princess
procefs,process
procefsion,procession
profecute,prosecute
profecuted,prosecuted
profecutes,prosecutes
profpect,prospect
profpective,prospective
profpects,prospects
profper,prosper
profpered,prospered
progrefs,progress
progrefsing,progressing
propofal,proposal
propofed,proposed
propofing,proposing
proteft,protest
Proteftant,protestant
Proteftants,protestants
proteftations,protestations
protefted,protested
protefting,protesting
protefts,protests
provifion,provision
provifions,provisions
prowefs,prowess
Pruffian,Prussian
purfue,pursue
purfuit,pursuit
purpofe,purpose
purpofes,purposes
Quefnoy,Quesnoy
queftion,question
queftions,questions
rafhnefs,rashness
rafhness,rashness
raife,raise
raifed,raised
raifes,raises
readinefs,readiness
reafon,reason
redreffed,redressed
redrefs,redress
refentment,resentment
refentments,resentments
referve,reserve
referved,reserved
refervedness,reservedness
referves,reserves
refided,resided
refidence,residence
refident,resident
refides,resides
refiding,residing
refift,resist
refiftance,resistance
refifted,resisted
refifting,resisting
refifts,resists
refindence,residence
refolution,resolution
refolve,resolve
refolved,resolved
refolves,resolves
refpect,respect
refpected,respected
refpecting,respecting
refpective,respective
refpects,respects
refpite,respite
refufal,refusal
refult,result
relapfe,relapse
reprefent,represent
reprefentation,representation
reprefentations,representations
reprefentative,representative
reprefentatives,representatives
reprefented,represented
reprefents,represents
repulfe,repulse
repulfed,repulsed
requeft,request
rifing,rising
Rochefter,rochester
Rofelar,Rouselaar
Rofendal,Rosendaal
Roffelar,Rouselaar
Rofs,ross
Rofs's,ross's
Roufelar,Rouselaar
Safs-,Sas-
seafon,season
sicknefs,sickness
sicknefses,sicknesses
sifter,sister
slownefs,slowness
smallnefs,smallness
spoufe,spouse
statefman,statesman
statefmanlike,statesmanlike
statefmen,statesmen
Stevenfwaert,Stevensweert
Stevenfweert,Stevensweert
Stiffnefs,stiffness
strefs,stress
subfiftence,subsistence
subftance,substance
succeffion,succession
succefful,successful
succefs,success
succefses,successes
succefsor,successor
sufpicion,suspicion
sufpicions,suspicions
sufpicious,suspicious
suggeftion,suggestion
suggeftions,suggestions
sweetnefs,sweetness
Swifs,swiss
teftimonial,testimonial
teftimonies,testimonies
teftimony,testimony
telefcope,telescope
tendernefs,tenderness
Tferclas,Tserclaes
thankfgiving,thanksgiving
thefe,these
themfelf,themself
themfelves,themselves
thofe,those
thoufand,thousand
thoufands,thousands
thouiand,thousand
thouiands,thousands
Tortofa,tortosa
tranfaction,transaction
tranfactions,transactions
tranflation,translation
tranfmit,transmit
tranfmitted,transmitted
tranfport,transport
tranfported,transported
tranfporting,transporting
tranfports,transports
traverfe,traverse
traverfes,traverses
Treafurer,treasurer
treatife,treatise
Tuefday,tuesday
ufed,used
ufes,uses
ufual,usual
undauntednefs,undauntedness
underftand,understand
underftands,understands
underftood,understood
uneafinefs,uneasiness
uneasinefs,uneasiness
unfeafonable,unseasonable
unfeafonableness,unseasonableness
unfpeak,unspeak
unfpeakable,unspeakable
unfpeaking,unspeaking
unlefs,unless
unpaffable,unpassable
utenfil,utensil
utenfils,utensils
vefsel,vessel
vefsels,vessels
veftiges,vestiges
Vendofme,Vendome
Vifcount,viscount
Vifcountefs,viscountess
vigorouf,vigorous
vigourouf,vigorous
weaknefs,weakness
weaknefses,weaknesses
Wednefday,wednesday
Weft-,west-
weft,west
Weftminfter,westminster
Weftphalia,westphalia
whifper,whisper
whifpered,whispered
whifpers,whispers
whilft,whilst
whofe,whose
wifdom,wisdom
wifh,wish
wifhed,whished
wifhes,wishes
willingnefs,willingness
withftand,withstand
withftanding,withstanding
withftands,withstands
withftood,withstood
witnefs,witness
witnefsed,witnessed
witnefses,witnesses
worfe,worse
yefterday,yesterday
